Andromeda II,663.3376669559598,-188.
Andromeda III,750.6592535991231,-351.
Andromeda V,784.3623221280634,-403.
Andromeda VI,795.086025750908,-354.
Andromeda VII,755.2551265803421,-300.
Antlia Dwarf Galaxy,1234.7578742875373,362.
Boötes Dwarf Galaxy,60.35913182001113,6.5
Canes Venatici Dwarf Galaxy,220.6019030985178,8.e1
Canis Major Dwarf Galaxy,7.659788302031868,81.
Carina Dwarf Galaxy,100.80281405473939,229.
Draco Dwarf Galaxy,81.80653906570036,-292.
Fornax Dwarf Galaxy,137.87618943657364,53.
IC 10,795.9363388503166,-348.
IC 1153,17990.085197684126,5879.
IC 126,82239.6755828577,5712.
IC 1459,29683.640576178812,1659.
IC 1574,4917.289954033661,357.
IC 1601,122932.24885084153,3717.
IC 1613,751.7419455261446,-234.
IC 1727,7196.034079073651,337.
IC 1783,38478.79333949104,3350.
IC 1788,46974.11134950855,3525.
IC 1844,96027.07698852727,6811.
IC 1914,24886.284523463048,1037.
IC 1919,15991.18684238589,1220.
IC 2006,20217.191115212245,1364.
IC 2051,16890.6911022701,1735.
IC 2143,39078.462846080525,3044.
IC 2311,23287.16583922446,1844.
IC 2367,24986.229441227955,2448.
IC 2537,36080.11531313316,2793.
IC 2560,30982.924507122665,2925.
IC 2574,3514.7296080660667,57.
IC 2588,51471.632648929604,3519.
IC 277,64564.41687613303,2849.
IC 3019,14017.274716528884,1804.
IC 3065,13792.398651557833,1072.
IC 3101,13392.618980498182,1490.
IC 3104,2268.7496332634987,428.
IC 3253,28384.35664523495,2723.
IC 3328,14706.894649106775,1002.
IC 3349,18699.694113815003,1471.
IC 3370,27604.786286668637,2934.
IC 3381,16464.259453139803,637.
IC 3388,16970.647036482027,1761.
IC 342,3070.8075983269155,31.
IC 3442,15271.583434478529,1332.
IC 3461,11893.445214024505,1038.
IC 3468,16580.86185719887,1372.
IC 3470,14591.957993677124,1500.
IC 3501,13392.618980498182,1608.
IC 3509,12193.279967319242,2073.
IC 3635,8695.207845547327,1517.
